code,current_losses,current_ties,current_wins,d_rating,d_rating_third,global_d,global_o,global_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_round_of_16,make_semis,name,o_rating,o_rating_third,sdr_id,ties,win_league,wins,current_points,last_updated
FEY,5.0,0.0,1.0,1.14168,0.00086,1.40067,2.23399,62.82533,-9.0,F,0.0,0.0,0.0,1.0,142,5.0,0.0,0.0,0.0,0.0,Feyenoord,2.49298,0.00187,74504,0.0,0.0,1.0,3.0,2018-05-21 18:17
BES,0.0,2.0,4.0,0.84125,0.00063,0.90796,2.12548,71.60018,6.0,G,1.0,0.0,0.0,0.0,1895,0.0,0.0,0.0,1.0,0.0,Besiktas,2.19218,0.00164,74202,2.0,0.0,4.0,14.0,2018-05-21 18:17
MAN,1.0,0.0,5.0,0.80226,0.00024,0.6271,2.10313,77.58801,9.0,A,1.0,0.0,0.0,0.0,360,1.0,0.0,0.0,1.0,0.0,Manchester United,1.92797,0.00058,73601,0.0,0.0,5.0,15.0,2018-05-13 20:42
MAD,1.0,1.0,4.0,1.06044,0.00032,0.67934,3.53986,90.9688,10.0,H,0.0,1.0,0.0,0.0,86,1.0,1.0,1.0,1.0,1.0,Real Madrid,3.15876,0.00095,74013,1.0,0.53254,4.0,13.0,2018-05-13 20:42
BAS,2.0,0.0,4.0,1.0101,0.0003,1.10755,2.13672,67.37156,6.0,A,0.0,1.0,0.0,0.0,989,2.0,0.0,0.0,1.0,0.0,Basel,2.23417,0.00067,93159,0.0,0.0,4.0,12.0,2018-05-13 20:42
PSG,1.0,0.0,5.0,0.79669,0.00024,0.67647,2.90134,86.10181,21.0,B,1.0,0.0,0.0,0.0,160,1.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.78112,0.00083,74427,0.0,0.0,5.0,15.0,2018-05-13 20:42
SPM,2.0,3.0,1.0,1.05415,1.05415,0.93871,1.94659,67.79041,-4.0,E,0.0,0.0,1.0,0.0,1941,2.0,0.0,0.0,0.0,0.0,Spartak Moscow,1.83115,1.83115,74345,3.0,0.0,1.0,6.0,2018-05-13 20:42
SHK,2.0,0.0,4.0,0.76308,0.00023,0.84451,2.16176,73.60145,0.0,F,0.0,1.0,0.0,0.0,493,2.0,0.0,0.0,1.0,0.0,Shakhtar Donetsk,2.2432,0.00067,74219,0.0,0.0,4.0,12.0,2018-05-13 20:42
DOR,4.0,2.0,0.0,1.13942,1.13942,0.8209,2.42811,78.01692,-6.0,H,0.0,0.0,1.0,0.0,124,4.0,0.0,0.0,0.0,0.0,Borussia Dortmund,2.10959,2.10959,74050,2.0,0.0,0.0,2.0,2018-05-13 20:42
LIV,0.0,3.0,3.0,0.74429,0.00022,0.56913,2.9326,88.13588,17.0,E,1.0,0.0,0.0,0.0,364,0.0,1.0,1.0,1.0,1.0,Liverpool,2.75744,0.00083,73600,3.0,0.46746,3.0,12.0,2018-05-13 20:42
MON,4.0,2.0,0.0,1.06149,0.00032,0.94127,2.08219,70.12503,-10.0,G,0.0,0.0,0.0,1.0,174,4.0,0.0,0.0,0.0,0.0,AS Monaco,1.96197,0.00059,74430,2.0,0.0,0.0,2.0,2018-05-13 20:42
QBG,4.0,2.0,0.0,0.77713,0.00023,1.39952,1.1764,40.30184,-12.0,C,0.0,0.0,0.0,1.0,10414,4.0,0.0,0.0,0.0,0.0,FK Qarabag,1.79879,0.00054,89793,2.0,0.0,0.0,2.0,2018-05-13 20:42
MNC,1.0,0.0,5.0,0.63461,0.00019,0.45945,2.94488,89.95548,9.0,F,1.0,0.0,0.0,0.0,382,1.0,0.0,1.0,1.0,0.0,Manchester City,2.76972,0.00083,73608,0.0,0.0,5.0,15.0,2018-05-13 20:42
RBL,3.0,1.0,2.0,1.32638,1.32638,1.00786,2.29657,72.17882,-1.0,G,0.0,0.0,1.0,0.0,11420,3.0,0.0,0.0,0.0,0.0,RB Leipzig,1.97806,1.97806,91099,1.0,0.0,2.0,7.0,2018-05-13 20:42
ATL,1.0,4.0,1.0,0.75966,0.75966,0.37856,2.06181,82.69626,1.0,C,0.0,0.0,1.0,0.0,1068,1.0,0.0,0.0,0.0,0.0,Atletico Madrid,1.68071,1.68071,74010,4.0,0.0,1.0,7.0,2018-05-13 20:42
POR,2.0,1.0,3.0,0.64957,0.00019,0.68297,2.20103,77.76964,5.0,G,0.0,1.0,0.0,0.0,437,2.0,0.0,0.0,1.0,0.0,FC Porto,2.23443,0.00067,74329,1.0,0.0,3.0,10.0,2018-05-13 20:42
OLY,5.0,1.0,0.0,0.7583,0.00023,0.98562,1.62792,60.37365,-9.0,D,0.0,0.0,0.0,1.0,435,5.0,0.0,0.0,0.0,0.0,Olympiacos,1.85523,0.00056,74236,1.0,0.0,0.0,1.0,2018-05-13 20:42
BEN,6.0,0.0,0.0,0.67508,0.0002,0.70848,2.03289,74.63168,-13.0,A,0.0,0.0,0.0,1.0,1929,6.0,0.0,0.0,0.0,0.0,Benfica,2.06629,0.00062,74332,0.0,0.0,0.0,0.0,2018-05-13 20:42
CSKA,3.0,0.0,3.0,0.77423,0.77423,0.65879,2.00766,75.38657,-2.0,A,0.0,0.0,1.0,0.0,1963,3.0,0.0,0.0,0.0,0.0,CSKA Moscow,1.89222,1.89222,74347,0.0,0.0,3.0,9.0,2018-05-13 20:42
CEL,5.0,0.0,1.0,0.63775,0.63775,1.17919,1.54201,53.88409,-13.0,B,0.0,0.0,1.0,0.0,256,5.0,0.0,0.0,0.0,0.0,Celtic,2.08345,2.08345,73714,0.0,0.0,1.0,3.0,2018-05-13 20:42
ROM,1.0,2.0,3.0,0.76053,0.00023,0.63799,2.35389,80.80991,3.0,C,1.0,0.0,0.0,0.0,104,1.0,0.0,1.0,1.0,1.0,AS Roma,2.23135,0.00067,73831,2.0,0.0,3.0,11.0,2018-05-13 20:42
NAP,4.0,0.0,2.0,0.70865,0.70865,0.58611,2.29198,81.10379,0.0,F,0.0,0.0,1.0,0.0,114,4.0,0.0,0.0,0.0,0.0,Napoli,2.16944,2.16944,73848,0.0,0.0,2.0,6.0,2018-05-13 20:42
BAR,0.0,2.0,4.0,1.03876,0.00031,0.65766,3.28701,89.56203,8.0,D,1.0,0.0,0.0,0.0,83,0.0,0.0,1.0,1.0,0.0,Barcelona,2.90591,0.00087,74014,2.0,0.0,4.0,14.0,2018-05-13 20:42
NIC,4.0,2.0,0.0,0.6278,0.00019,1.2443,1.5305,52.12564,-15.0,H,0.0,0.0,0.0,1.0,2497,4.0,0.0,0.0,0.0,0.0,Apoel Nicosia,2.147,0.00064,72948,2.0,0.0,0.0,2.0,2018-05-13 20:42
JUV,1.0,2.0,3.0,0.56199,0.00017,0.43945,2.40653,85.4705,2.0,D,0.0,1.0,0.0,0.0,111,1.0,0.0,1.0,1.0,0.0,Juventus,2.28399,0.00069,73847,2.0,0.0,3.0,11.0,2018-05-13 20:42
RSCA,5.0,0.0,1.0,0.95993,0.00029,1.09898,1.73126,59.84238,-15.0,B,0.0,0.0,0.0,1.0,441,5.0,0.0,0.0,0.0,0.0,Anderlecht,1.87032,0.00056,72889,0.0,0.0,1.0,3.0,2018-05-13 20:42
BMU,1.0,0.0,5.0,0.84511,0.00025,0.52659,3.31854,91.53828,7.0,B,0.0,1.0,0.0,0.0,132,1.0,0.0,1.0,1.0,1.0,Bayern Munich,3.00002,0.0009,74078,0.0,0.0,5.0,15.0,2018-05-13 20:42
CHE,1.0,2.0,3.0,0.91082,0.00027,0.73566,2.33631,78.53462,8.0,C,0.0,1.0,0.0,0.0,363,1.0,0.0,0.0,1.0,0.0,Chelsea,2.16114,0.00065,73598,2.0,0.0,3.0,11.0,2018-05-13 20:42
TOT,0.0,1.0,5.0,0.84135,0.00025,0.66618,2.53846,82.49592,11.0,H,1.0,0.0,0.0,0.0,367,0.0,0.0,0.0,1.0,0.0,Tottenham Hotspur,2.3633,0.00071,73602,1.0,0.0,5.0,16.0,2018-05-13 20:42
SCP,3.0,1.0,2.0,0.82128,0.82128,0.85468,1.78714,66.79817,-1.0,D,0.0,0.0,1.0,0.0,2250,3.0,0.0,0.0,0.0,0.0,Sporting CP,1.82054,1.82054,74330,1.0,0.0,2.0,7.0,2018-05-13 20:42
MAR,3.0,3.0,0.0,0.97275,0.00029,1.66697,1.44736,41.2474,-13.0,E,0.0,0.0,0.0,1.0,619,3.0,0.0,0.0,0.0,0.0,NK Maribor,2.14158,0.00064,74166,3.0,0.0,0.0,3.0,2018-05-13 20:42
SEV,1.0,3.0,2.0,1.19379,0.00036,0.81269,2.19269,74.78822,0.0,E,0.0,1.0,0.0,0.0,243,1.0,0.0,1.0,1.0,0.0,Sevilla FC,1.81159,0.00054,93401,3.0,0.0,2.0,9.0,2018-05-13 20:42
FEY,5.0,0.0,1.0,1.14168,0.00034,1.40067,2.23399,62.82533,-9.0,F,0.0,0.0,0.0,1.0,142,5.0,0.0,0.0,0.0,0.0,Feyenoord,2.49298,0.00075,74504,0.0,0.0,1.0,3.0,2018-05-13 20:42
BES,0.0,2.0,4.0,0.82561,0.00025,0.89231,1.98847,69.61754,6.0,G,1.0,0.0,0.0,0.0,1895,0.0,0.0,0.0,1.0,0.0,Besiktas,2.05518,0.00062,74202,2.0,0.0,4.0,14.0,2018-05-13 20:42
MAN,1.0,0.0,5.0,0.83602,0.00025,0.66086,2.22594,78.60778,9.0,A,1.0,0.0,0.0,0.0,360,1.0,0.0,0.0,1.0,0.0,Manchester United,2.05078,0.00062,73601,0.0,0.0,5.0,15.0,2018-05-07 18:58
MAD,1.0,1.0,4.0,1.05762,0.00032,0.67652,3.53174,90.95323,10.0,H,0.0,1.0,0.0,0.0,86,1.0,1.0,1.0,1.0,1.0,Real Madrid,3.15064,0.00095,74013,1.0,0.55346,4.0,13.0,2018-05-07 18:58
BAS,2.0,0.0,4.0,0.86682,0.00026,0.96426,1.99012,67.98848,6.0,A,0.0,1.0,0.0,0.0,989,2.0,0.0,0.0,1.0,0.0,Basel,2.08757,0.00063,93159,0.0,0.0,4.0,12.0,2018-05-07 18:58
PSG,1.0,0.0,5.0,0.76456,0.00023,0.64434,3.02123,87.68787,21.0,B,1.0,0.0,0.0,0.0,160,1.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.90101,0.00087,74427,0.0,0.0,5.0,15.0,2018-05-07 18:58
SPM,2.0,3.0,1.0,1.04451,1.04451,0.92907,2.0494,69.83777,-4.0,E,0.0,0.0,1.0,0.0,1941,2.0,0.0,0.0,0.0,0.0,Spartak Moscow,1.93396,1.93396,74345,3.0,0.0,1.0,6.0,2018-05-07 18:58
SHK,2.0,0.0,4.0,0.76308,0.00023,0.84451,2.16176,73.60145,0.0,F,0.0,1.0,0.0,0.0,493,2.0,0.0,0.0,1.0,0.0,Shakhtar Donetsk,2.2432,0.00067,74219,0.0,0.0,4.0,12.0,2018-05-07 18:58
