code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
HER,12.0,4.0,14.0,1.01166,2.94256,40.13364,43.0762,,129,13.4579,0.00174,0.93104,Hertha Berlin,1.39589,0.0,0.0,74051,5.10256,0.0,15.43954,2017-04-23 17:21
FRA,11.0,8.0,11.0,0.97249,-2.67352,39.16936,36.49584,,125,12.5941,0.0,0.2945,Eintracht Frankfurt,1.38218,0.0,0.0,74052,9.11342,0.0,12.29248,2017-04-23 17:21
HSV,15.0,6.0,9.0,1.2643,-26.16164,60.8444,34.68276,,127,16.73262,0.0,2e-05,Hamburg SV,1.35595,0.0,0.17008,78530,7.0659,0.0,10.20148,2017-04-23 17:21
FRE,12.0,5.0,13.0,1.27873,-16.74432,59.4309,42.68658,,126,13.94914,0.0,0.62422,SC Freiburg,1.46737,0.0,0.0,74053,5.8506,0.0,14.20026,2017-04-23 17:21
MNZ,15.0,6.0,9.0,1.12587,-9.76902,54.06778,44.29876,,2950,16.38946,0.0,0.00126,Mainz,1.5543,0.0,0.05004,74062,7.10042,0.0,10.51012,2017-04-23 17:21
ING,18.0,4.0,8.0,1.30722,-22.56404,60.55184,37.9878,,6367,19.83764,0.0,0.0,FC Ingolstadt 04,1.55493,0.0,0.78386,79434,4.99994,0.0,9.16242,2017-04-23 17:21
BRE,12.0,6.0,12.0,1.27334,-2.7161,58.13746,55.42136,,137,13.83488,0.0,0.40582,Werder Bremen,1.84311,0.0,0.0,74042,6.89856,0.0,13.26656,2017-04-23 17:21
BMU,2.0,7.0,21.0,0.62541,64.82514,19.65892,84.48406,,132,2.37242,1.0,0.0,Bayern Munich,2.88497,0.99994,0.0,74078,7.51704,0.99994,24.11054,2017-04-23 17:21
DRM,21.0,3.0,6.0,1.54729,-40.54444,66.95064,26.4062,,3812,23.4963,0.0,0.0,SV Darmstadt 98,1.18315,0.0,1.0,74070,3.7651,0.0,6.7386,2017-04-23 17:21
MGB,12.0,6.0,11.0,1.07749,-2.04494,47.09348,45.04854,,268,13.50766,0.0,0.51104,Borussia Monchengladbach,1.71017,0.0,4e-05,74048,7.18218,0.0,13.31016,2017-04-19 20:48
WLF,14.0,6.0,9.0,1.10643,-13.46556,49.4114,35.94584,,138,16.15574,0.0,0.0058,VfL Wolfsburg,1.63952,0.0,0.0978,74046,7.31854,0.0,10.52572,2017-04-19 20:48
DOR,6.0,8.0,15.0,0.91531,36.0038,37.75968,73.76348,,124,6.7206,0.99978,0.00022,Borussia Dortmund,2.51146,0.0,0.0,74050,8.9091,0.0,18.3703,2017-04-19 20:48
AUG,13.0,8.0,8.0,1.29986,-22.50454,55.07552,32.57098,,3841,15.87954,0.0,0.00024,FC Augsburg,1.24731,0.0,0.42094,74082,9.14804,0.0,8.97242,2017-04-19 20:48
COL,9.0,10.0,10.0,1.14906,3.54974,44.37396,47.9237,,122,11.3852,8e-05,0.34086,FC Cologne,1.48175,0.0,0.0,74049,11.15626,0.0,11.45854,2017-04-19 20:48
LEV,13.0,6.0,10.0,1.08026,-0.41998,50.18058,49.7606,,131,14.50682,0.0,0.21068,Bayer Leverkusen,1.80223,0.0,0.00204,74045,7.2857,0.0,12.20748,2017-04-19 20:48
HOF,3.0,12.0,14.0,1.06586,26.31978,37.80124,64.12102,,7911,4.63494,0.99882,0.00118,TSG Hoffenheim,1.97699,0.0,0.0,84341,13.12466,0.0,16.2404,2017-04-19 20:48
SCH,12.0,7.0,10.0,1.05605,4.5657,40.49654,45.06224,,133,13.72036,0.0,0.23588,Schalke 04,1.63573,0.0,0.00134,74039,8.30394,0.0,11.9757,2017-04-19 20:48
RBL,6.0,4.0,19.0,1.00834,24.80572,36.79042,61.59614,,11420,7.89708,1.0,0.0,RB Leipzig,1.79197,0.0001,0.0,91099,5.28966,0.0001,20.81326,2017-04-19 20:48
HER,12.0,4.0,13.0,1.03578,2.11422,41.31632,43.43054,,129,13.777,0.0013,0.82288,Hertha Berlin,1.39367,0.0,0.0,74051,5.37878,0.0,14.84422,2017-04-19 20:48
FRA,11.0,8.0,10.0,0.96037,-3.8091,38.76484,34.95574,,125,12.74636,0.0,0.23266,Eintracht Frankfurt,1.32706,0.0,0.00058,74052,9.39962,0.0,11.85402,2017-04-19 20:48
HSV,14.0,6.0,9.0,1.2178,-23.85066,59.38286,35.5322,,127,15.80556,0.0,0.00846,Hamburg SV,1.37069,0.0,0.10164,78530,7.3237,0.0,10.87074,2017-04-19 20:48
FRE,12.0,5.0,12.0,1.29735,-18.1453,60.1316,41.9863,,126,14.39062,0.0,0.38952,SC Freiburg,1.46058,0.0,2e-05,74053,6.10058,0.0,13.5088,2017-04-19 20:48
MNZ,15.0,5.0,9.0,1.14566,-13.38596,55.4433,42.05734,,2950,17.4614,0.0,0.00056,Mainz,1.43436,0.0,0.20056,74062,6.18986,0.0,10.34874,2017-04-19 20:48
ING,17.0,4.0,8.0,1.2555,-20.2657,57.87014,37.60444,,6367,19.14698,0.0,2e-05,FC Ingolstadt 04,1.53273,0.0,0.66448,79434,5.25794,0.0,9.59508,2017-04-19 20:48
BRE,12.0,6.0,11.0,1.25411,-4.93646,57.69802,52.76156,,137,14.2611,2e-05,0.24,Werder Bremen,1.77644,0.0,8e-05,74042,7.15242,0.0,12.58648,2017-04-19 20:48
BMU,2.0,6.0,21.0,0.55847,68.07384,17.8744,85.94824,,132,2.35782,1.0,0.0,Bayern Munich,2.92555,0.9999,0.0,74078,6.5735,0.9999,25.06868,2017-04-19 20:48
DRM,21.0,3.0,5.0,1.5635,-42.6046,67.7836,25.179,,3812,24.09734,0.0,0.0,SV Darmstadt 98,1.13872,0.0,1.0,74070,4.00128,0.0,5.90138,2017-04-19 20:48
MGB,11.0,6.0,11.0,1.01576,-0.63758,43.37454,42.73696,,268,12.99026,0.00408,0.5225,Borussia Monchengladbach,1.62799,0.0,0.0,74048,7.4607,0.0,13.54904,2017-04-12 20:42
WLF,14.0,6.0,8.0,1.14869,-16.39244,50.83072,34.43828,,138,16.50956,0.0,0.0015,VfL Wolfsburg,1.6085,0.0,0.19134,74046,7.57036,0.0,9.92008,2017-04-12 20:42
DOR,6.0,8.0,14.0,0.88353,35.85706,36.87542,72.73248,,124,6.7552,0.99572,0.00428,Borussia Dortmund,2.5001,0.0,0.0,74050,9.08656,0.0,18.15824,2017-04-12 20:42
AUG,13.0,8.0,7.0,1.30354,-23.55204,55.20112,31.64908,,3841,16.25576,0.0,4e-05,FC Augsburg,1.23183,0.0,0.55414,74082,9.44528,0.0,8.29896,2017-04-12 20:42
COL,8.0,10.0,10.0,1.13443,4.6901,43.50222,48.19232,,122,10.70622,0.00198,0.41994,FC Cologne,1.48579,0.0,2e-05,74049,11.43844,0.0,11.85534,2017-04-12 20:42
LEV,13.0,5.0,10.0,1.11362,-1.74404,52.65132,50.90728,,131,15.18602,6.000000000000001e-05,0.13648,Bayer Leverkusen,1.85659,0.0,0.00248,74045,6.47088,0.0,12.3431,2017-04-12 20:42
HOF,3.0,12.0,13.0,1.00713,24.90398,35.43344,60.33742,,7911,4.85196,0.97226,0.02774,TSG Hoffenheim,1.88108,0.0,0.0,84341,13.41328,0.0,15.73476,2017-04-12 20:42
SCH,11.0,7.0,10.0,1.01814,6.218,39.42176,45.63976,,133,12.9373,0.00052,0.34462,Schalke 04,1.62425,0.0,0.00022,74039,8.577,0.0,12.4857,2017-04-12 20:42
RBL,6.0,4.0,18.0,1.03245,21.3409,37.91076,59.25166,,11420,8.16024,0.99954,0.00046,RB Leipzig,1.75826,2e-05,0.0,91099,5.53258,2e-05,20.30718,2017-04-12 20:42
