code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
NCE,2.0,11.0,21.0,1.10224,25.69676,34.53182,60.22858,,2502,3.9781,1.0,0.0,Nice,1.51854,0.0,0.0,74437,11.9785,0.0,22.0434,2017-04-23 21:10
LOR,20.0,4.0,9.0,1.44855,-26.77584,69.9957,43.21986,,273,21.73548,0.0,0.0,Lorient,1.37264,0.0,0.29678,74443,5.43276,0.0,10.83176,2017-04-19 20:46
LYON,12.0,3.0,17.0,1.09357,31.24872,45.85016,77.09888,,167,13.27734,0.0,0.9993,Lyon,2.15232,0.0,0.0,74432,4.29626,0.0,20.4264,2017-04-19 20:46
TOU,12.0,11.0,10.0,1.15186,-1.98432,41.46746,39.48314,,179,13.94362,0.0,0.0013,Toulouse,1.14328,0.0,0.0,74439,12.3609,0.0,11.69548,2017-04-19 20:46
MNT,14.0,9.0,10.0,1.34168,-11.10886,63.4284,52.31954,,274,16.45926,0.0,4e-05,Montpellier,1.49948,0.0,0.0004,74452,10.22618,0.0,11.31456,2017-04-19 20:46
DIJ,16.0,11.0,6.0,1.46617,-11.6899,58.285,46.5951,,3170,17.9355,0.0,0.0,Dijon FCO,1.2901,0.0,0.56054,74455,12.44202,0.0,7.62248,2017-04-19 20:46
MON,3.0,5.0,24.0,0.90347,73.4482,31.78156,105.22976,,174,3.63446,1.0,0.0,AS Monaco,2.43522,0.7292,0.0,74430,5.93882,0.7292,28.42672,2017-04-19 20:46
NAN,13.0,9.0,11.0,1.22304,-17.32412,53.69656,36.37244,,165,15.07676,0.0,0.00226,Nantes,1.25257,0.0,2e-05,74463,10.38436,0.0,12.53888,2017-04-19 20:46
REN,10.0,13.0,10.0,1.16632,-8.81472,44.3422,35.52748,,169,12.36776,0.0,0.00294,Stade Rennes,1.09778,0.0,0.0,74434,14.38222,0.0,11.25002,2017-04-19 20:46
LLE,16.0,7.0,10.0,1.166,-11.18332,47.73108,36.54776,,166,17.98712,0.0,0.0,Lille,1.20424,0.0,0.00346,74438,8.3166,0.0,11.69628,2017-04-19 20:46
ANG,16.0,6.0,11.0,1.19339,-12.5787,49.93828,37.35958,,7868,18.15728,0.0,8e-05,Angers,1.25964,0.0,0.00104,74464,7.4114,0.0,12.43132,2017-04-19 20:46
PSG,4.0,5.0,24.0,0.73294,56.41814,26.20168,82.61982,,160,4.32996,1.0,0.0,Paris Saint-Germain,2.45978,0.27062,0.0,74427,5.6843,0.27062,27.98574,2017-04-19 20:46
MTZ,15.0,9.0,9.0,1.53832,-32.6922,70.7032,38.011,,177,17.17542,0.0,0.0,Metz,1.15043,0.0,0.04534,74444,10.43292,0.0,10.39166,2017-04-19 20:46
STE,9.0,12.0,11.0,1.05092,2.89566,37.87934,40.775,,178,11.7766,0.0,0.06946,St Etienne,1.27599,0.0,0.0,74436,13.57488,0.0,12.64852,2017-04-19 20:46
BAS,16.0,10.0,6.0,1.44407,-25.9444,56.78248,30.83808,,173,19.45588,0.0,0.0,Bastia,0.9382,0.0,0.87026,74457,11.40934,0.0,7.13478,2017-04-19 20:46
GUI,13.0,8.0,12.0,1.27667,-2.86236,49.29938,46.43702,,171,14.51818,0.0,0.04184,Guingamp,1.41572,0.0,0.0,74451,9.44034,0.0,14.04148,2017-04-19 20:46
BOR,9.0,10.0,14.0,1.07365,9.67062,44.17194,53.84256,,159,10.40752,0.0,0.94896,Bordeaux,1.58003,0.0,0.0,74428,11.41114,0.0,16.18134,2017-04-19 20:46
MRS,10.0,9.0,14.0,1.12091,11.57488,43.2696,54.84448,,176,11.43704,0.0,0.93382,Marseille,1.61113,0.0,0.0,74431,10.40088,0.0,16.16208,2017-04-19 20:46
CAN,18.0,6.0,9.0,1.40939,-25.56698,63.66966,38.10268,,2927,20.27266,0.0,0.0,Caen,1.24863,0.0,0.20086,74445,7.30724,0.0,10.4201,2017-04-19 20:46
NCY,18.0,7.0,8.0,1.29927,-22.04712,51.67986,29.63274,,3267,20.4213,0.0,0.0,AS Nancy Lorraine,1.03944,0.0,0.51262,74441,8.35,0.0,9.2287,2017-04-19 20:46
NCE,2.0,10.0,21.0,1.12491,25.31662,34.93618,60.2528,,2502,4.3958,1.0,0.0,Nice,1.52643,0.00018,0.0,74437,11.26756,0.00018,22.33664,2017-04-19 20:46
LOR,19.0,4.0,9.0,1.45808,-25.1623,69.64142,44.47912,,273,21.19988,0.0,0.0,Lorient,1.41157,0.0,0.23736,74443,5.67104,0.0,11.12908,2017-04-12 18:43
LYON,12.0,3.0,17.0,1.09357,31.33214,45.8678,77.19994,,167,13.26578,0.00442,0.99496,Lyon,2.15232,0.0,0.0,74432,4.29326,0.0,20.44096,2017-04-12 18:43
TOU,11.0,11.0,10.0,1.11961,-1.2337,40.58054,39.34684,,179,13.35062,0.0,0.01942,Toulouse,1.13628,0.0,0.0,74439,12.67152,0.0,11.97786,2017-04-12 18:43
MNT,14.0,9.0,9.0,1.37616,-12.78738,64.78726,51.99988,,274,16.72992,0.0,8e-05,Montpellier,1.51027,0.0,0.01674,74452,10.47814,0.0,10.79194,2017-04-12 18:43
DIJ,15.0,11.0,6.0,1.49203,-13.17628,59.34952,46.17324,,3170,17.8185,0.0,0.0,Dijon FCO,1.26814,0.0,0.59176,74455,12.5502,0.0,7.6313,2017-04-12 18:43
MON,3.0,5.0,23.0,0.89439,74.84726,31.37502,106.22228,,174,3.68028,1.0,0.0,AS Monaco,2.43756,0.7072,0.0,74430,6.05552,0.7072,28.2642,2017-04-12 18:43
NAN,12.0,9.0,11.0,1.23373,-16.15444,53.87074,37.7163,,165,14.38934,0.0,0.0333,Nantes,1.29973,0.0,0.0,74463,10.67754,0.0,12.93312,2017-04-12 18:43
REN,10.0,13.0,9.0,1.17898,-10.79842,45.31662,34.5182,,169,12.69414,0.0,0.00352,Stade Rennes,1.06564,0.0,8e-05,74434,14.68694,0.0,10.61892,2017-04-12 18:43
LLE,15.0,7.0,10.0,1.13629,-9.25862,46.7548,37.49618,,166,17.34738,0.0,0.0005,Lille,1.21876,0.0,0.00276,74438,8.63754,0.0,12.01508,2017-04-12 18:43
ANG,15.0,6.0,11.0,1.21355,-12.61786,50.68146,38.0636,,7868,17.96608,0.0,0.00072,Angers,1.27789,0.0,0.00162,74464,7.54926,0.0,12.48466,2017-04-12 18:43
PSG,4.0,5.0,22.0,0.71521,59.19872,25.1025,84.30122,,160,4.36568,1.0,0.0,Paris Saint-Germain,2.48989,0.29262,0.0,74427,5.82116,0.29262,27.81316,2017-04-12 18:43
MTZ,14.0,8.0,9.0,1.5138,-34.51928,69.96778,35.4485,,177,17.43268,0.0,8e-05,Metz,1.09703,0.0,0.06764,74444,9.8065,0.0,10.76082,2017-04-12 18:43
STE,8.0,12.0,11.0,0.97494,6.77236,34.95524,41.7276,,178,11.13492,0.0,0.27276,St Etienne,1.31088,0.0,0.0,74436,13.88888,0.0,12.9762,2017-04-12 18:43
BAS,16.0,10.0,6.0,1.44407,-25.9768,56.89624,30.91944,,173,19.44024,0.0,0.0,Bastia,0.9382,0.0,0.89,74457,11.39596,0.0,7.1638,2017-04-12 18:43
GUI,13.0,8.0,11.0,1.26993,-3.6606,49.18118,45.52058,,171,14.81392,0.0,0.05274,Guingamp,1.37411,0.0,0.0,74451,9.75014,0.0,13.43594,2017-04-12 18:43
BOR,9.0,10.0,13.0,1.1114,8.59636,45.4717,54.06806,,159,10.79276,0.0,0.85304,Bordeaux,1.59429,0.0,0.0,74428,11.69102,0.0,15.51622,2017-04-12 18:43
