code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
DIN,6.0,0.0,0.0,1.22434,-15.0,H,0.0,0.0,0.0,1.0,597,6.0,0.0,0.0,0.0,0.0,Dinamo Zagreb,1.26939,72934,0.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
DOR,0.0,2.0,4.0,0.881,12.0,F,1.0,0.0,0.0,0.0,124,0.0,0.0,1.0,1.0,0.0,Borussia Dortmund,2.47375,74050,2.0,0.0,4.0,0.0,1.0,2017-05-07 16:54
MON,1.0,2.0,3.0,0.87473,2.0,E,1.0,0.0,0.0,0.0,174,1.0,0.02616,1.0,1.0,1.0,AS Monaco,2.46104,74430,2.0,0.0083,3.0,0.0083,1.0,2017-05-07 16:54
LEV,0.0,4.0,2.0,1.14877,4.0,E,0.0,1.0,0.0,0.0,131,0.0,0.0,0.0,1.0,0.0,Bayer Leverkusen,1.735,74045,4.0,0.0,2.0,0.0,1.0,2017-05-07 16:54
MNC,1.0,3.0,2.0,0.72405,2.0,C,0.0,1.0,0.0,0.0,382,1.0,0.0,0.0,1.0,0.0,Manchester City,2.5298,73608,3.0,0.0,2.0,0.0,1.0,2017-05-07 16:54
ATL,1.0,0.0,5.0,0.60592,5.0,D,1.0,0.0,0.0,0.0,1068,1.0,0.02844,1.0,1.0,1.0,Atletico Madrid,1.81283,74010,0.0,0.0125,5.0,0.0125,1.0,2017-05-07 16:54
LEI,1.0,1.0,4.0,1.14235,1.0,G,1.0,0.0,0.0,0.0,375,1.0,0.0,1.0,1.0,0.0,Leicester City,1.52962,73629,1.0,0.0,4.0,0.0,1.0,2017-05-07 16:54
BEN,2.0,2.0,2.0,1.04631,0.0,B,0.0,1.0,0.0,0.0,1929,2.0,0.0,0.0,1.0,0.0,Benfica,1.98603,74332,2.0,0.0,2.0,0.0,1.0,2017-05-07 16:54
CSKA,3.0,3.0,0.0,1.15499,-6.0,E,0.0,0.0,0.0,1.0,1963,3.0,0.0,0.0,0.0,0.0,CSKA Moscow,1.4571,74347,3.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
CEL,3.0,3.0,0.0,1.30243,-11.0,C,0.0,0.0,0.0,1.0,256,3.0,0.0,0.0,0.0,0.0,Celtic,2.40609,73714,3.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
