code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
SEV,6.0,8.0,19.0,0.93788,20.40802,45.39934,65.80736,,243,7.56828,0.94426,0.05574,Sevilla FC,1.85809,0.0,0.0,93401,9.12172,0.0,21.31,2017-04-26 21:23
VAL,16.0,7.0,11.0,1.20975,-11.93458,65.97922,54.04464,,94,17.84114,0.0,0.0,Valencia,1.68327,0.0,0.0,74016,7.86918,0.0,12.28968,2017-04-26 21:23
ESP,10.0,11.0,13.0,1.00542,-0.1594,49.762,49.6026,,88,11.68648,0.0,0.009,Espanyol,1.34686,0.0,0.0,74018,12.05524,0.0,14.25828,2017-04-26 21:23
BET,16.0,7.0,10.0,1.07789,-16.5748,57.28732,40.71252,,244,18.16354,0.0,0.0,Real Betis,1.3467,0.0,0.0,74025,8.4409,0.0,11.39556,2017-04-26 21:23
VLR,8.0,9.0,17.0,0.8958,22.1016,32.39152,54.49312,,102,9.44564,0.0363,0.96174,Villarreal,1.71113,0.0,0.0,74019,9.87306,0.0,18.6813,2017-04-26 21:23
PAL,15.0,9.0,10.0,1.42703,-12.04154,68.62056,56.57902,,98,17.13104,0.0,0.0,Las Palmas,1.60031,0.0,0.0,73975,9.93044,0.0,10.93852,2017-04-26 21:23
GRN,22.0,8.0,4.0,1.52419,-49.11626,79.7314,30.61514,,3747,24.36164,0.0,0.0,Granada,1.00528,0.0,0.99986,74005,8.9053,0.0,4.73306,2017-04-26 21:23
GIJ,20.0,7.0,5.0,1.35006,-31.9812,72.61388,40.63268,,3788,22.65574,0.0,0.0,Sporting Gijón,1.32975,0.0,0.84558,74001,8.57116,0.0,6.7731,2017-04-19 20:43
OSA,21.0,8.0,3.0,1.49415,-46.0262,83.9492,37.923,,97,24.14382,0.0,0.0,Osasuna,1.24502,0.0,0.99848,74015,9.28958,0.0,4.5666,2017-04-19 20:43
EIB,10.0,8.0,14.0,1.00484,6.29154,52.38728,58.67882,,3752,12.5251,0.00012,0.3167,Eibar,1.63549,0.0,0.0,73965,9.44008,0.0,16.03482,2017-04-19 20:43
MGA,15.0,9.0,8.0,1.10472,-14.8275,57.9536,43.1261,,99,17.58128,0.0,0.0,Málaga,1.35429,0.0,0.00138,74004,10.55838,0.0,9.86034,2017-04-19 20:43
BIL,11.0,5.0,16.0,0.90798,8.8106,43.52676,52.33736,,93,13.003,0.01148,0.80574,Athletic Bilbao,1.72236,0.0,0.0,74011,6.6325,0.0,18.3645,2017-04-19 20:43
ALA,11.0,10.0,11.0,1.02941,-8.83038,46.17806,37.34768,,96,13.32618,0.0,0.00948,Alavés,1.26264,0.0,0.0,74003,11.7606,0.0,12.91322,2017-04-19 20:43
DEP,15.0,10.0,7.0,1.12914,-17.63304,59.28802,41.65498,,90,17.77966,0.0,0.0,Deportivo La Coruña,1.34752,0.0,0.0103,74022,11.52564,0.0,8.6947,2017-04-19 20:43
BAR,4.0,6.0,22.0,0.76801,72.2453,35.76782,108.01312,,83,4.74772,1.0,0.0,Barcelona,3.28223,0.20528,0.0,74014,6.79938,0.20528,26.4529,2017-04-19 20:43
VIG,13.0,5.0,13.0,1.13475,-4.55438,61.4275,56.87312,,85,15.9047,0.0,0.04444,Celta Vigo,1.64804,0.0,0.0,74008,6.77776,0.0,15.31754,2017-04-19 20:43
ATL,5.0,8.0,19.0,0.64066,39.37402,28.4448,67.81882,,1068,6.12326,0.99488,0.00512,Atletico Madrid,1.85344,2e-05,0.0,74010,9.6347,2e-05,22.24204,2017-04-19 20:43
LEG,17.0,9.0,6.0,1.04442,-24.72948,56.44992,31.72044,,17534,19.5671,0.0,0.0,Leganes,1.17014,0.0,0.1511,78708,10.6792,0.0,7.7537,2017-04-19 20:43
MAD,2.0,6.0,23.0,0.92601,59.36282,41.59034,100.95316,,86,3.11628,1.0,0.0,Real Madrid,3.16402,0.7947,0.0,74013,7.1152,0.7947,27.76852,2017-04-19 20:43
SOC,12.0,4.0,16.0,1.06329,4.59406,52.08822,56.68228,,89,13.89766,0.00968,0.75918,Real Sociedad,1.71799,0.0,0.0,75770,5.49614,0.0,18.6062,2017-04-19 20:43
SEV,6.0,8.0,18.0,0.95296,19.79122,46.0549,65.84612,,243,7.67408,0.96714,0.03284,Sevilla FC,1.85682,0.0,0.0,93401,9.30902,0.0,21.0169,2017-04-19 20:43
VAL,14.0,7.0,11.0,1.17598,-8.68264,63.4047,54.72206,,94,16.51976,0.0,0.00044,Valencia,1.69032,0.0,0.0,74016,8.41004,0.0,13.0702,2017-04-19 20:43
ESP,9.0,10.0,13.0,1.01675,0.33002,50.29168,50.6217,,88,11.52538,8e-05,0.13622,Espanyol,1.38299,0.0,0.0,74018,11.63636,0.0,14.83826,2017-04-19 20:43
BET,16.0,7.0,9.0,1.133,-18.44496,59.11166,40.6667,,244,18.73712,0.0,0.0,Real Betis,1.32744,0.0,0.0027,74025,8.67856,0.0,10.58432,2017-04-19 20:43
